title,link,published,summary,latitude,longitude
Old Video Shared As Israel PM Netanyahu Celebrating Hezbollah Chief's Death,https://www.boomlive.in/fact-check/viral-video-israel-prime-minister-benjamin-netanyahu-reaction-death-hezbollah-leader-hassan-nasrallah-old-video-claim-online-social-media-26634,"Mon, 30 Sep 2024 11:42:37 GMT","BOOM found that Benjamin Netanyahu had posted the video on his TikTok account in 2021, much before Hassan Nasrallah's death.",,
What Does Hassan Nasrallah's Assassination Mean For Hezbollah's Future?,https://www.boomlive.in/explainers/what-does-hassan-nasrallahs-assassination-mean-for-hezbollahs-future-26630,"Mon, 30 Sep 2024 09:03:35 GMT","Israel has killed Hassan Nasrallah, the leader of Hezbollah, in an airstrike in Beirut, escalating regional tensions.",,
Indian News Channels Give Communal Hue To Gruesome Bengaluru Murder,https://www.boomlive.in/explainers/indian-media-reporting-on-the-bengaluru-murder-is-full-of-communal-undertones-26599,"Sat, 28 Sep 2024 05:23:24 GMT",Bengaluru Police confirmed to BOOM that Muktiranjan Ray has been identified as the sole perpetrator in the case.,,
Trouble In Paradise: How Coldplay Fans Fell Victim to Ticket Scam,https://www.boomlive.in/decode/trouble-in-paradise-how-coldplay-fans-fell-victim-to-ticket-scam-26597,"Fri, 27 Sep 2024 11:30:28 GMT","Coldplay's desperate Indian fans posted pleas for tickets across social media platforms, unwittingly painting targets on their backs for opportunistic scammers.",,
Video Of Gautam Adani Promoting Investment Opportunity Is An AI Edited Fake,https://www.boomlive.in/fact-check/fact-check-gautam-adani-investment-platform-video-deepfake-artificial-intelligence-voice-clone-fake-news-26594,"Fri, 27 Sep 2024 08:41:26 GMT",BOOM found the visuals of Gautam Adani were taken from a video uploaded by the Adani Group in 2023 and overlaid with a fake audio generated using AI.,,
Locked For Years: A New Life For Assam Residents As They Finally Get Aadhaar Cards,https://www.boomlive.in/decode/locked-for-years-a-new-life-for-assam-residents-as-they-finally-get-aadhaar-cards-26589,"Fri, 27 Sep 2024 03:57:39 GMT","Residents of Assam have faced hardships due to locked biometrics, losing access to jobs, services, and schemes. While over 5 lakh biometrics have been unlocked, many still await resolution.",,
TDP Shares Cropped Video Of Jagan Reddy Claiming He Rejected Prasad,https://www.boomlive.in/fact-check/viral-video-telugu-desam-party-ys-jagan-mohan-reddy-charanamrit-claim-online-social-media-26586,"Thu, 26 Sep 2024 10:57:27 GMT",BOOM that the original video shows Reddy and his wife drinking charanamrit after receiving it from the priests.,,
Old Video of Terror Truck Attack in France Revived as Recent,https://www.boomlive.in/fast-check/fact-check-fast-check-france-terror-truck-attack-old-video-fake-news-26584,"Thu, 26 Sep 2024 06:47:35 GMT","BOOM found the visuals show the aftermath of an attack by a truck which ran over pedestrians in Nice, France during the Bastille Day celebrations in 2016.",,
AI Voice Clone Used To Show Sundar Pichai Promoting Fake 'Google Invest' Platform,https://www.boomlive.in/fact-check/viral-video-google-ceo-sundar-pichai-promoting-google-invest-finance-claim-online-social-media-26575,"Wed, 25 Sep 2024 12:57:21 GMT",BOOM found that the video is manipulated using AI-voice cloning technology to promote a dubious app called Google Invest.,,
Screenshot Of Pak Company Employees Falsely Linked To Tirupati Ghee Supplier,https://www.boomlive.in/fact-check/tirupati-temple-ghee-laddu-cow-fat-oil-pakistan-ar-dairy-food-26562,"Tue, 24 Sep 2024 10:26:16 GMT",The CEO of AR Dairy Food Pvt Ltd confirmed to BOOM that the claims linking the company to the Pakistani company A.R. Foods are false.,,
Video Of Sudha Murty Promoting Investing App Is An AI Voice Clone,https://www.boomlive.in/fact-check/fact-check-sudha-murthy-narayan-murthy-quick-money-making-application-scam-ai-audio-fake-news-26561,"Tue, 24 Sep 2024 10:11:14 GMT","BOOM found that the video taken from Sudha Murty's speech in Moneycontrol's Startup Conclave held in July, 2023 has been overlaid with a fake audio generated using AI.",,
Video Of Boy Spitting On Flowers In Pakistan Peddled As Muslim Vendor Outside Temple,https://www.boomlive.in/fact-check/fake-news-viral-video-boy-spitting-on-flowers-outside-temple-flower-seller-flower-jihad-pakistan-video-factcheck-26560,"Tue, 24 Sep 2024 10:10:41 GMT",BOOM found that the viral video of a young boy spitting on the garlands is from Pakistan. A car number plate visible in the background also confirm the video is not from India.,,
Pager Attack On Hezbollah Is An Example Of A Booby Trap: What Does It Mean?,https://www.boomlive.in/explainers/pager-attack-on-hezbollah-is-an-example-of-a-booby-trap-what-does-it-mean-26544,"Mon, 23 Sep 2024 10:59:02 GMT","Hundreds of pagers used by members of the armed group Hezbollah exploded across Lebanon on Tuesday, killing several people.",,
Old Video Falsely Shared As Tamil Nadu Man Beaten For Mocking Tirupati Laddus Row,https://www.boomlive.in/fact-check/fake-news-video-tamil-nadu-man-beaten-mocking-tirupati-temple-andhra-pardesh-laddus-row-26543,"Mon, 23 Sep 2024 10:52:47 GMT",BOOM found that the viral video of Tamil Nadu environmental activist Piyush Manush being beaten by BJP workers is from 2019 and predates the recent Tirupati laddus controversy,,
Video Of Vandalism At Toll Plaza In Bangladesh Peddled With False Claim,https://www.boomlive.in/fact-check/viral-video-toll-plaza-muslims-vandalism-pay-fee-claim-online-social-media-26537,"Sun, 22 Sep 2024 12:29:05 GMT","BOOM found that the incident happened at Kuril toll plaza in Dhaka, Bangladesh.",,
Bombay HC Strikes Down Centre's Plan For Fact-Check Unit,https://www.boomlive.in/law/bombay-high-court-it-rules-fact-checking-unit-unconstitutional-illegal-26531,"Fri, 20 Sep 2024 14:24:12 GMT",Bombay High Court's tie-breaking judgment tipped the scale in a 2:1 majority to strike down the Centre's Fact Checking Unit.,,
